hypothesis,coin,feature,date,period,rolling_ic
H1_visibility,BTC,musk_max_views_8h_log,2023-08-14 00:00:00,train,-0.05984853689516904
H1_visibility,BTC,musk_max_views_8h_log,2023-08-15 00:00:00,train,-0.0593331279242582
H1_visibility,BTC,musk_max_views_8h_log,2023-08-16 00:00:00,train,-0.061441211598312576
H1_visibility,BTC,musk_max_views_8h_log,2023-08-17 00:00:00,train,-0.06712401813781603
H1_visibility,BTC,musk_max_views_8h_log,2023-08-18 00:00:00,train,-0.10729925532330904
H1_visibility,BTC,musk_max_views_8h_log,2023-08-19 00:00:00,train,-0.12225647240407587
H1_visibility,BTC,musk_max_views_8h_log,2023-08-20 00:00:00,train,-0.13056144054117766
H1_visibility,BTC,musk_max_views_8h_log,2023-08-21 00:00:00,train,-0.12463639237195541
H1_visibility,BTC,musk_max_views_8h_log,2023-08-22 00:00:00,train,-0.1296620208646885
H1_visibility,BTC,musk_max_views_8h_log,2023-08-23 00:00:00,train,-0.14836213204830428
H1_visibility,BTC,musk_max_views_8h_log,2023-08-24 00:00:00,train,-0.10246356488978445
H1_visibility,BTC,musk_max_views_8h_log,2023-08-25 00:00:00,train,-0.09514941308993567
H1_visibility,BTC,musk_max_views_8h_log,2023-08-26 00:00:00,train,-0.10871197533627311
H1_visibility,BTC,musk_max_views_8h_log,2023-08-27 00:00:00,train,-0.09337547124614513
H1_visibility,BTC,musk_max_views_8h_log,2023-08-28 00:00:00,train,-0.07865416962087923
H1_visibility,BTC,musk_max_views_8h_log,2023-08-29 00:00:00,train,-0.07688088262906011
H1_visibility,BTC,musk_max_views_8h_log,2023-08-30 00:00:00,train,-0.06172713032643423
H1_visibility,BTC,musk_max_views_8h_log,2023-08-31 00:00:00,train,-0.06040936416022411
H1_visibility,BTC,musk_max_views_8h_log,2023-09-01 00:00:00,train,-0.04576137585443795
H1_visibility,BTC,musk_max_views_8h_log,2023-09-02 00:00:00,train,-0.034138653687796144
H1_visibility,BTC,musk_max_views_8h_log,2023-09-03 00:00:00,train,-0.0436383301925596
H1_visibility,BTC,musk_max_views_8h_log,2023-09-04 00:00:00,train,-0.04212418757243529
H1_visibility,BTC,musk_max_views_8h_log,2023-09-05 00:00:00,train,-0.031717287000657436
H1_visibility,BTC,musk_max_views_8h_log,2023-09-06 00:00:00,train,-0.01567860856386337
H1_visibility,BTC,musk_max_views_8h_log,2023-09-07 00:00:00,train,-0.022758797478933973
H1_visibility,BTC,musk_max_views_8h_log,2023-09-08 00:00:00,train,-0.04036316144719064
H1_visibility,BTC,musk_max_views_8h_log,2023-09-09 00:00:00,train,-0.029755733471015438
H1_visibility,BTC,musk_max_views_8h_log,2023-09-10 00:00:00,train,-0.029605703913092245
