hypothesis,coin,feature,month,period,monthly_ic
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2025-03-31,holdout,-0.11036952429108066
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2025-04-30,holdout,0.1602974447039246
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-02-29,val,0.2281600531791207
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-03-31,val,-0.007873565327522768
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-04-30,val,0.005504186871692278
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-05-31,val,0.2727665454773642
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-06-30,val,-0.12857245062953487
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-07-31,val,0.030684077360238236
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-08-31,val,-0.1994461353856602
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2024-09-30,val,0.08702265923378172
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2025-01-31,holdout,-0.15324496370500343
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2025-02-28,holdout,0.025089093507578198
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2025-03-31,holdout,-0.11225585730139996
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,2025-04-30,holdout,0.12702558249581083
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-02-29,val,0.10374597749744245
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-03-31,val,0.0759056772331222
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-04-30,val,-0.01760339212782823
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-05-31,val,0.26226520516655205
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-06-30,val,-0.13435978482116293
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-07-31,val,0.0758817119866001
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-08-31,val,-0.162955386062156
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2024-09-30,val,0.1060595546777455
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2025-01-31,holdout,-0.19484401795131948
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2025-02-28,holdout,-0.19577443860551708
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2025-03-31,holdout,-0.11299166892219827
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,2025-04-30,holdout,0.24990009363135696
